,title,source,category,text,href
0,"Autism, Head Banging and other Self Harming Behavior",https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"For children with autism spectrum disorder (ASD), head banging is a common way to self-soothe and communicate needs. Both neurotypical and autistic babies and toddlers seek to recreate the rhythm that stimulated their vestibular system while in utero. Other rhythmic habits that fuel a child’s kinesthetic drive include head rolling, body rocking, biting, and thumb… 
",https://www.autismparentingmagazine.com/autism-self-harm/
1,High Quality ABA Treatment:  What Every Parent Needs to Know,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"Dr. Stephen Shore once said “If you’ve met one person with autism, you’ve met one person with autism.”  As many of you know, the Centre for Disease Control and Prevention reports that there are now 1 in 68 children living with autism in the United States.  What this means for each child and his/her family… 
",https://www.autismparentingmagazine.com/high-quality-aba-treatment/
2,Help: I Don’t Know How to Choose an Applied Behavior Analysis Provider,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba," Help! I am going to be starting Applied Behavior Analysis for my son who has autism. Can you tell me things to ask and what to look for in an ABA provider? — Jane I am so glad you asked this. Within the autism community there are mixed feelings about Applied Behavior Analysis (ABA).  But,… 
",https://www.autismparentingmagazine.com/choosing-aba-provider/
3,HELP: My Autistic Child is Absolutely Terrified of Storms Now,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"How do you handle high anxiety of a child on the spectrum? My son is 12 years old and where we live there is a hurricane coming soon. Everyone is talking about it and he is terrified. He gets upset when it rains and he cries because he’s scared. With others he appears angry and… 
",https://www.autismparentingmagazine.com/help-autistic-child-terrified-of-storms/
4,HELP: I Need Communication Advice for Autistic Grandson,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"A grandfather from Singapore asks… My eldest grandson (age 5) is autistic. His parents work full-time so I am his caretaker.  He is very picky about his food, does not talk, is hyperactive, walks on his toes, has difficulty concentrating, wakes up in the middle of the night, is not potty-trained, and fiddles with his… 
",https://www.autismparentingmagazine.com/help-i-need-communication-advice-for-autistic-grandson/
5,Help: My Aspie Lacks Motivation,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"Hi, I am the parent of a 13-year-old boy with Asperger’s syndrome.  He was unable to cope with school so he now has a tutor come to the house each day for one hour.  He is very withdrawn and this is worse when his tutor comes.  How do I get him to engage with the… 
",https://www.autismparentingmagazine.com/help-my-aspie-lacks-motivation/
6,Exciting Campaign Launched to Tackle the Autism Employment Gap,https://www.autismparentingmagazine.com/,category-autism-advocacy,"It will be some time before we see a positive result, but the opening shots have been fired in a campaign to encourage the UK Government to tackle the autism employment gap once and for all. High-flying politicians, like Government Minister Penny Mordaunt, have come out in support of the UK’s National Autistic Society (NAS),… 
",https://www.autismparentingmagazine.com/autism-employment-gap-campaign/
7,How One Restaurateur Makes Eating Out Autism-Friendly,https://www.autismparentingmagazine.com/,category-autism-advocacy,"Restaurant owner Andrew Iredale could hardly be described as a zealous revolutionary. He certainly doesn’t look like one. But he has introduced a radical shake-up in the way that his eatery welcomes autism-affected families—one in which campaigners hope other restaurateurs will now follow suit. As the father of Josh, an eight-year-old boy with autism, Andrew… 
",https://www.autismparentingmagazine.com/restaurateur-makes-eating-autism-friendly/
8,Lloyd Claycomb’s Views on Autism,https://www.autismparentingmagazine.com/,category-autism-advocacy,"Autism can be one of the most difficult diagnoses to accept for parents. This is particularly due to the challenging symptoms associated with autism spectrum disorder.  As with many things that society does not understand, autism has a certain stigma attached to it, too. This can make it quite difficult for families struggling to cope… 
",https://www.autismparentingmagazine.com/lloyd-claycomb-views-on-autism/
9,Erasing the Prejudice – Are People on the Spectrum Really More Violent?,https://www.autismparentingmagazine.com/,category-autism-advocacy,"An Interview with Dr. Tony Attwood, PhD, AS/ASD expert As the mother of a Spectrum Teen, I am becoming concerned about prejudice against persons with Autism Spectrum/Autism Spectrum Disorder (AS/ASD) because of three shootings that occurred in the U.S. where the shooters were identified as having AS. As a mother, I want to protect and… 
",https://www.autismparentingmagazine.com/erasing-prejudice-spectrum-violence/
