,source,category,text,href
0,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"For children with autism spectrum disorder (ASD), head banging is a common way to self-soothe and communicate needs. Both neurotypical and autistic babies and toddlers seek to recreate the rhythm that stimulated their vestibular system while in utero. Other rhythmic habits that fuel a child’s kinesthetic drive include head rolling, body rocking, biting, and thumb… Continue Reading
",https://www.autismparentingmagazine.com/autism-self-harm/
1,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"Dr. Stephen Shore once said “If you’ve met one person with autism, you’ve met one person with autism.”  As many of you know, the Centre for Disease Control and Prevention reports that there are now 1 in 68 children living with autism in the United States.  What this means for each child and his/her family… Continue Reading
",https://www.autismparentingmagazine.com/high-quality-aba-treatment/
2,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba," Help! I am going to be starting Applied Behavior Analysis for my son who has autism. Can you tell me things to ask and what to look for in an ABA provider? — Jane I am so glad you asked this. Within the autism community there are mixed feelings about Applied Behavior Analysis (ABA).  But,… Continue Reading
",https://www.autismparentingmagazine.com/choosing-aba-provider/
3,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"How do you handle high anxiety of a child on the spectrum? My son is 12 years old and where we live there is a hurricane coming soon. Everyone is talking about it and he is terrified. He gets upset when it rains and he cries because he’s scared. With others he appears angry and… Continue Reading
",https://www.autismparentingmagazine.com/help-autistic-child-terrified-of-storms/
4,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"A grandfather from Singapore asks… My eldest grandson (age 5) is autistic. His parents work full-time so I am his caretaker.  He is very picky about his food, does not talk, is hyperactive, walks on his toes, has difficulty concentrating, wakes up in the middle of the night, is not potty-trained, and fiddles with his… Continue Reading
",https://www.autismparentingmagazine.com/help-i-need-communication-advice-for-autistic-grandson/
5,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"Hi, I am the parent of a 13-year-old boy with Asperger’s syndrome.  He was unable to cope with school so he now has a tutor come to the house each day for one hour.  He is very withdrawn and this is worse when his tutor comes.  How do I get him to engage with the… Continue Reading
",https://www.autismparentingmagazine.com/help-my-aspie-lacks-motivation/
6,https://www.autismparentingmagazine.com/,category-autism-advocacy,"It will be some time before we see a positive result, but the opening shots have been fired in a campaign to encourage the UK Government to tackle the autism employment gap once and for all. High-flying politicians, like Government Minister Penny Mordaunt, have come out in support of the UK’s National Autistic Society (NAS),… Continue Reading
",https://www.autismparentingmagazine.com/autism-employment-gap-campaign/
7,https://www.autismparentingmagazine.com/,category-autism-advocacy,"Restaurant owner Andrew Iredale could hardly be described as a zealous revolutionary. He certainly doesn’t look like one. But he has introduced a radical shake-up in the way that his eatery welcomes autism-affected families—one in which campaigners hope other restaurateurs will now follow suit. As the father of Josh, an eight-year-old boy with autism, Andrew… Continue Reading
",https://www.autismparentingmagazine.com/restaurateur-makes-eating-autism-friendly/
8,https://www.autismparentingmagazine.com/,category-autism-advocacy,"Autism can be one of the most difficult diagnoses to accept for parents. This is particularly due to the challenging symptoms associated with autism spectrum disorder.  As with many things that society does not understand, autism has a certain stigma attached to it, too. This can make it quite difficult for families struggling to cope… Continue Reading
",https://www.autismparentingmagazine.com/lloyd-claycomb-views-on-autism/
9,https://www.autismparentingmagazine.com/,category-autism-advocacy,"An Interview with Dr. Tony Attwood, PhD, AS/ASD expert As the mother of a Spectrum Teen, I am becoming concerned about prejudice against persons with Autism Spectrum/Autism Spectrum Disorder (AS/ASD) because of three shootings that occurred in the U.S. where the shooters were identified as having AS. As a mother, I want to protect and… Continue Reading
",https://www.autismparentingmagazine.com/erasing-prejudice-spectrum-violence/
10,https://www.autismparentingmagazine.com/,category-autism-advocacy,"A civil rights lawyer and autism mom talks about the importance of advocacy, work-life balance and the potentially groundbreaking lawsuit in which she’s representing the parents of an autistic child. Nationally recognized autism advocate and civil rights attorney Areva Martin is also mom to Marty, who has autism. Here, she gives advice on how to… Continue Reading
",https://www.autismparentingmagazine.com/the-never-ending-battle-for-autism-rights/
11,https://www.autismparentingmagazine.com/,category-autism-advocacy,"In two short years, Tikko has captured the hearts of thousands of people.  What began as my child’s dream to make the world a better place for families living with autism, is now a passion that continues to grow every time Tikko travels. We know all too well the challenges in raising a child on… Continue Reading
",https://www.autismparentingmagazine.com/how-one-special-bear-changed-the-way-people-see-autism/
12,https://www.autismparentingmagazine.com/,category-autism-advocacy,"Every time the professional fighters meet their opponents in the ring and the octagon, they must focus on their personal strengths – from physical and mental toughness to psychological and emotional drive. It’s all about being a warrior. Christian Mitchell, founder and president of Fighting for Autism, feels much the same way. An autism awareness… Continue Reading
",https://www.autismparentingmagazine.com/winning-the-fight-for-autism/
13,https://www.autismparentingmagazine.com/,category-autism-advocacy,"Autism Services for Military Families by Leslie Burby   If America is the “home of the free and the brave” – shouldn’t “the brave” and their families receive the necessities that they need?  There are fundraisers and drives to supply the soldiers with military equipment, boots, food and electronics to communicate with the loved ones… Continue Reading
",https://www.autismparentingmagazine.com/autism-services-u-s-military-families/
14,https://www.autismparentingmagazine.com/,category-autism-advocacy,"Bridge the Gap Gala Raises over $100,000 by Leslie Burby I had the pleasure of attending Fill-A-Need’s first fundraiser, Bridge the Gap Gala, on November 16th at the Trump National Golf Club in Bedminster, NJ for an evening of fun and fundraising. The venue was astounding but equally astounding was one mother’s dedication to help… Continue Reading
",https://www.autismparentingmagazine.com/bridge-gap-gala-raises-100000-2/
15,https://www.autismparentingmagazine.com/,category-autism-advocacy,"  We started this magazine to help parents, sort through all the information. When my children were diagnosed by autism, I was scared and overwhelmed, there’s a lot of information out there and it’s hard to know what to trust and what to believe in. So there is an approach in us to help form… Continue Reading
",https://www.autismparentingmagazine.com/exposing-autism-speaks-podcast-4/
16,https://www.autismparentingmagazine.com/,category-autism-and-diet,"Recent clinical trials looking at gluten-free diets for children with autism spectrum disorder (ASD) are showing benefits worth considering. Typical indicators of autism spectrum in children may include delayed speech, lack of eye contact, impaired or non-present social skills, shyness, obsessive-type behaviors, delayed gross or fine motor skills, sensory integration issues (sound and touch sensitivity,… Continue Reading
",https://www.autismparentingmagazine.com/gluten-free-diet-can-help/
17,https://www.autismparentingmagazine.com/,category-autism-and-diet,"I find the suggestion that there needs to be a cure for autism an absolutely ridiculous notion. Coming as I do from a family where many of our men-folk exhibit spectrum behavior, spending much of their time in the garden shed whittling or inventing, my child fits right in with our collective history of quiet,… Continue Reading
",https://www.autismparentingmagazine.com/aspergers-syndrome-and-the-power-of-a-good-diet/
18,https://www.autismparentingmagazine.com/,category-autism-and-diet,"“Wow, how did you get him/her to do that?,” parents often ask me. Whether their seven-year-old son just performed a jump for the first time or their seventeen-year-old daughter triumphed over a Dynamax ball squat, Sandbell slam, and bear walk combo, one of the highlights of my profession is demonstrating capabilities. And it isn’t quite… Continue Reading
",https://www.autismparentingmagazine.com/six-steps-family-fitness-program/
19,https://www.autismparentingmagazine.com/,category-autism-and-diet,"This is the question of the month as featured in Issue Number 7 Q: What is GFCF? A: GFCF stands for Gluten-Free and Casein-Free Q: What is gluten? A: In Living Gluten Free for Dummies by Danna Korn, “Gluten is a mixture of proteins in wheat, rye, and barley. Oats don’t have gluten but may… Continue Reading
",https://www.autismparentingmagazine.com/qa-section-gluten-free-casein-free-diet-work-effective/
20,https://www.autismparentingmagazine.com/,category-autism-and-food,"I had the pleasure of reviewing Mallory’s Marvelous Muffins because they not only have the typical occasion baskets (such as holiday, get well, bereavement, congratulations, thank you, specific corporate baskets and many more) but they also have autism awareness baskets. They have many flavors of muffins, cookies, and coffee cakes. They even have customized gluten-free… Continue Reading
",https://www.autismparentingmagazine.com/mallorys-marvelous-muffins/
21,https://www.autismparentingmagazine.com/,category-autism-and-food,"Sivakumari asks: My daughter loves to eat ice-cream and cake. She will get angry and scream if we do not buy it. How can I stop her from doing this? Also, it is true that sugary foods make children with autism more hyperactive? Hi Sivakumari, thanks for your questions. Your daughter is a girl after… Continue Reading
",https://www.autismparentingmagazine.com/sugary-foods-children-autism-hyperactive/
22,https://www.autismparentingmagazine.com/,category-autism-articles,"How does your child react in the water—with pleasure or with pain?  Does your child respond to water play with interest and excitement, or does the very mention of water create stress? Let’s look at the reasons why kids with autism spectrum disorder (ASD) react differently from one another in the water, along with some… Continue Reading
",https://www.autismparentingmagazine.com/ways-helping-autism-child-enjoy-water/
23,https://www.autismparentingmagazine.com/,category-autism-articles,"Over the years, lack of eye contact from a person diagnosed with autism spectrum disorder (ASD) has been mistaken as an indication of lack of empathy or connection with others. This theory began in the 1980s when psychologists Simon Baron-Cohen and Uta Frith indicated that people diagnosed with autism were not capable of using the… Continue Reading
",https://www.autismparentingmagazine.com/autism-anxiety-disorder/
