post id,title,text,href,user id,mother post id
1,Inappropriate Masterbation Down Syndrome,"
        It is common for children and adolescents with Down Syndome to show many different forms of self-stimulator behavior, includig masturbation. It is important for you and the other other adults involved in your son's care to begin to help him to distinguish between appropriate and inappropriate forms of stimulation and situations in which this behavior is appropriate. Allowing him to touch himself in public will limit his opportunity to be included in certain activities and settings and may limit opportunities for appropriate social interaction. If he rubs himself in public, either against an object or person, interrupt this behavior and direct him toward an appropriate activity. More importantly, try to be sure that there is some appropriate alternative easily available to him at all times. If there is nothing appropriate to do he will find some way to stimulate himself. If you have any concerns about his interactions with children please do supervise him carefully and seek in-person professional consultation.
    ",http://www.medhelp.org//posts/Autism--Aspergers-Syndrome/Inappropriate-Masterbation-Down-Syndrome/show/981153,user_340688,1
2,Inappropriate Masterbation Down Syndrome,"
        A related discussion, self injusry in masturbation among women with Down syndrome was started.
    ",http://www.medhelp.org//posts/Autism--Aspergers-Syndrome/Inappropriate-Masterbation-Down-Syndrome/show/981153,user_1566928,1
3,Inappropriate Masterbation Down Syndrome,"
        A related discussion, Sexuality was started.
    ",http://www.medhelp.org//posts/Autism--Aspergers-Syndrome/Inappropriate-Masterbation-Down-Syndrome/show/981153,user_15010831,1
4,Suicidal 8 yr. old Asperger grandson,"
        This sounds like an extremely challenging situation. As a disclaimer I need to note that no responsible therapist can diagnose over the internet or give you a prescription for the best course of action.  However, I would suggest you obtain immediate therapeutic assistance and insist, if you can, that this child get help.  I wouldn’t take any risks with this case.  
    ",http://www.medhelp.org//posts/Autism--Aspergers-Syndrome/Suicidal-8-yr-old-Asperger-grandson/show/404412,user_340657,4
5,Suicidal 8 yr. old Asperger grandson,"
        i too have an 8yr old,my son jesse same story however he has never followed thru with any susacide attempts. always try's to please everyone -even his dad.alot of the other kids at school fear jesse maybe your boy feels the same way. asperger kids need asperger friends  contact me at ***@****. maybe jesse could be his friend
    ",http://www.medhelp.org//posts/Autism--Aspergers-Syndrome/Suicidal-8-yr-old-Asperger-grandson/show/404412,user_391640,4
6,Suicidal 8 yr. old Asperger grandson,"
        Your e-mail address was blocked out.   There are no other Asperger children in his school, in fact the staff never even heard of Asperger.  I have been providing them with BOOKS to educate them on Aspergers.  He lives in an area where there are no other families.  He has numerous problems riding the bus, as he is teased.   His last Suicide attempt was thwarted by the teacher on the playground; but now claims he will not be using his shoes laces for that purpose again.  But when a meltdown starts, one doesn't truly know how the child will react.   I think what they need are some outside activities, like Karate or (?) to be with other children and not have his head stuck in a video game or TV show, but learn to interact with other children his age.  But his Dad, doesn't want to be bothered with anything that requires him to leave the house. I sometimes wonder who needs the help more the child or the Dad.  Grandmother1941
    ",http://www.medhelp.org//posts/Autism--Aspergers-Syndrome/Suicidal-8-yr-old-Asperger-grandson/show/404412,user_388553,4
7,Suicidal 8 yr. old Asperger grandson,"
        I don't know about the suicuidal tendincies but as a mother and professional educator of autistic children I find the last palce they want to be is in the playground let alone a playground where he gets bullied and teased. Perhaps the best palce for him  at school is in a computer room or the like.  Aspergers/autitis children struggle most with the friendship stuff.  and a thought to add a ""2 person""  computer game with other children  is still a version of ""friendship""...Some of the clinical pscho;ogists are now highly recommending that these children be given time in quieter areas at lunch time because they just don't cope as well as others and by lunch time tyhey are passed being ""social"" and do more harm than good to themselves and others in the playground. 
    ",http://www.medhelp.org//posts/Autism--Aspergers-Syndrome/Suicidal-8-yr-old-Asperger-grandson/show/404412,user_393618,4
8,Suicidal 8 yr. old Asperger grandson,"
        My 9 year old son was diagnosed with asperger's at age 8 when he also tried to strangle himself at school with his shoelaces. He has made at least 4 suicide attempts since last summer, with his latest one happening today during a meltdown. As soon as my son begins having a meltdown he tries to hurt himself, just like your grandson has been doing. I put my son in counseling when he was 6, and really nothing helped. The counselor kept telling me that she knew that there was something wrong but she didn't know what it was. He was diagnosed after his 3rd suicide attempt. The one thing that has seemed to help with his meltdowns are his meds. The meltdowns are much less frequent and are not as intense when he has them (except for today), however if his father does not accept the diagnosis, the meds will be impossible as well. I am not sure as to what suggestions I can give you because I am too at a loss in my own situation and was here looking for answers. 
    ",http://www.medhelp.org//posts/Autism--Aspergers-Syndrome/Suicidal-8-yr-old-Asperger-grandson/show/404412,user_395246,4
9,Suicidal 8 yr. old Asperger grandson,"
        I have a 10 year old daughter with Asperger's who talks about wanting to be dead, but never has attempted it (thankfully).  Yes, many people with Asperger's suffer from depression, too.  Can you blame him?  It sounds like you understand about Asperger's, so I'm sure you can imagine how difficult it must be for him with a Dad who does not understand him, or is even willing to try, no teachers who understand, the teasing of other kids (who really don't understand!), and the stress levels these kids are under from every day things--noise, lights, etc.  I feel for you, and your grandson, as I think you may be right--that he may succeed next time.  I would say contact Child & Protective Services, but there is no guarantee he would end up with someone who understands there, either.  Are you able to take him in? 
    ",http://www.medhelp.org//posts/Autism--Aspergers-Syndrome/Suicidal-8-yr-old-Asperger-grandson/show/404412,user_347888,4
10,Suicidal 8 yr. old Asperger grandson,"
         i have a 12 year old son with aspergers.my fiance has a 21 year old son with aspergers.i really feel for you as this is not a good situation.my son is the most loving boy until he gets in a mood or has a meltdown.then its like he is possessed.he talks about suicide and does hurt himself by banging his head until he bleeds and stuff but has never attempted suicide.yet although it is a big fear for me.i think he may also be bi-polar and am waiting for an appointment with a new pediatrician to talk about this as he gets depressed and thats when he goes crazy.your grandson needs to be in a home and school where people understand his problems and can cope with him or who knows what will happen.some aspies end up becoming murderers because they get so frustrated and just react on the spur of the moment.i have looked this up as i was concerned about my sons violence and if our other family members were at risk.could you take him.maybe if you contact child services and let them know he isn't getting the help he needs.we have been lucky with the school system.they adore my son and he spends recess and lunch in the computer lab.he shows the other kids stuff cause he is so smart and he doesn't get picked on as the other kids all know about him.not so lucky with the doctors.it took years to get him diagnosed and there aren't very good resources here.if it weren't for the school i don't know how we would cope.i really feel for you and your grandson and wish you all the best of luck.
    ",http://www.medhelp.org//posts/Autism--Aspergers-Syndrome/Suicidal-8-yr-old-Asperger-grandson/show/404412,user_397233,4
11,Suicidal 8 yr. old Asperger grandson,"
        This is not only alarming but scary i have a 7 year old high functioning autistic child whom i fear is going that same route and they have so many obstacles to overcome and so many thing to work out just to fit into society NOW they have to fight to get other kids to understand them. My son father isnt there as much as he should be becasue men dont take the time to work at it hes selfish and not willing to accept his son for who he is and not what he wants him to be.
My god our job is never done as i type this i can not help but cry out for some sort of help. but from who. who is going to stand up for our kids who are trying to kill themselfs????????????
    ",http://www.medhelp.org//posts/Autism--Aspergers-Syndrome/Suicidal-8-yr-old-Asperger-grandson/show/404412,user_436623,4
12,Suicidal 8 yr. old Asperger grandson,"
        MY GOD THIS IS DISTURBING TO READ. I TOO AM IN A SIMILAR SITUATION I HAVE A 6 YEAR OLD SON WHO IS BEING TEASED AT SCHOOL FOR BEING DIFFRENT. WE JUST GOT OVER THE HURDLE OF CHILDREN MAKING FUN OF HIS SPEECH DELAYS AND HIS APRAXIA BUT NOW AS HE IS MOVING ON INTO THE 2ND GRADE THE KIDS ARE GETTING A LITTLE MEANER AND NASTIER. WHAT CAN WE DO? WHAT IS THERE TO DO ? I DONT WANT TO PULL HIM OUT OF SCHOOL BECAUSE HE NEEDS THE SOCIALIZATION HOWEVER I WOULD RATHER HAVE HIM ISOLATED THAN DEAD. PARENT STEP UP AND BE YOUR CHILDS FRIEND LETS MAKE THE DIFFRENCE. ITS TOUGH FOR THEM AT SCHOOL SO LETS MAKE IT GREAT AT HOME. ITS PRESSURE FOR THEM TO BE DIFFRENT, NOW TEASED AND TAUNTED. BE THERE FOR EVERYTHING FOR OUR BOYS PLAY WITH THEM TAKE THEM OUT TEACH THEM NORMAL KID ACTIVITIES, DO WHAT OTHER LITTLE BOYS ARE DOING HIS AGE SO ATLEAST HE CAN STAY ON TARGET.

YOUR CHILDREN ARE WORTH IT !!!!!
THEY ARE YOUR LEGACY!!!!!!!!
PRAISE HIS STRENGTH AND HIS WEAKNESSES !!!!
LET HIM BE WHO HE/SHE IS!!!

GOD BLESS ALL OF US. ITS A DAILY BATTLE BUT STICK IN THERE IF YOU FALL GET BACK UP AGAIN. THERE YOUR CHILDREN.

    ",http://www.medhelp.org//posts/Autism--Aspergers-Syndrome/Suicidal-8-yr-old-Asperger-grandson/show/404412,user_436623,4
