,category,href,source,text,title,tokens,text_short
0,['category-autism-therapy'],https://www.autismparentingmagazine.com/autism-self-harm/,https://www.autismparentingmagazine.com/,"For children with autism spectrum disorder (ASD), head banging is a common way to self-soothe and communicate needs. Both neurotypical and autistic babies and toddlers seek to recreate the rhythm that stimulated their vestibular system while in utero. Other rhythmic habits that fuel a child’s kinesthetic drive include head rolling, body rocking, biting, and thumb… 
","Autism, Head Banging and other Self Harming Behavior","['autism', 'head', 'banging', 'and', 'other', 'self', 'harming', 'behavior', 'for', 'children', 'with', 'autism', 'spectrum', 'disorder', 'asd', 'head', 'banging', 'is', 'a', 'common', 'way', 'to', 'self', 'soothe', 'and', 'communicate', 'needs', 'both', 'neurotypical', 'and', 'autistic', 'babies', 'and', 'toddlers', 'seek', 'to', 'recreate', 'the', 'rhythm', 'that', 'stimulated', 'their', 'vestibular', 'system', 'while', 'in', 'utero', 'other', 'rhythmic', 'habits', 'that', 'fuel', 'a', 'child', 's', 'kinesthetic', 'drive', 'include', 'head', 'rolling', 'body', 'rocking', 'biting', 'and', 'thumb']","For children with autism spectrum disorder (ASD), head banging is a common way to self-soothe and communicate needs. Both neurotypical and autistic babies and toddlers seek to recreate the rhythm that stimulated their vestibular system while in utero. Other rhythmic habits that fuel a child’s kinest"
1,['category-autism-therapy'],https://www.autismparentingmagazine.com/high-quality-aba-treatment/,https://www.autismparentingmagazine.com/,"Dr. Stephen Shore once said “If you’ve met one person with autism, you’ve met one person with autism.”  As many of you know, the Centre for Disease Control and Prevention reports that there are now 1 in 68 children living with autism in the United States.  What this means for each child and his/her family… 
",High Quality ABA Treatment:  What Every Parent Needs to Know,"['high', 'quality', 'aba', 'treatment', 'what', 'every', 'parent', 'needs', 'to', 'know', 'dr', 'stephen', 'shore', 'once', 'said', 'if', 'you', 've', 'met', 'one', 'person', 'with', 'autism', 'you', 've', 'met', 'one', 'person', 'with', 'autism', 'as', 'many', 'of', 'you', 'know', 'the', 'centre', 'for', 'disease', 'control', 'and', 'prevention', 'reports', 'that', 'there', 'are', 'now', '1', 'in', '68', 'children', 'living', 'with', 'autism', 'in', 'the', 'united', 'states', 'what', 'this', 'means', 'for', 'each', 'child', 'and', 'his', 'her', 'family']","Dr. Stephen Shore once said “If you’ve met one person with autism, you’ve met one person with autism.”  As many of you know, the Centre for Disease Control and Prevention reports that there are now 1 in 68 children living with autism in the United States.  What this means for each child and his/her "
2,['category-autism-therapy'],https://www.autismparentingmagazine.com/choosing-aba-provider/,https://www.autismparentingmagazine.com/," Help! I am going to be starting Applied Behavior Analysis for my son who has autism. Can you tell me things to ask and what to look for in an ABA provider? — Jane I am so glad you asked this. Within the autism community there are mixed feelings about Applied Behavior Analysis (ABA).  But,… 
",Help: I Don’t Know How to Choose an Applied Behavior Analysis Provider,"['help', 'i', 'don', 't', 'know', 'how', 'to', 'choose', 'an', 'applied', 'behavior', 'analysis', 'provider', 'help', 'i', 'am', 'going', 'to', 'be', 'starting', 'applied', 'behavior', 'analysis', 'for', 'my', 'son', 'who', 'has', 'autism', 'can', 'you', 'tell', 'me', 'things', 'to', 'ask', 'and', 'what', 'to', 'look', 'for', 'in', 'an', 'aba', 'provider', 'jane', 'i', 'am', 'so', 'glad', 'you', 'asked', 'this', 'within', 'the', 'autism', 'community', 'there', 'are', 'mixed', 'feelings', 'about', 'applied', 'behavior', 'analysis', 'aba', 'but']"," Help! I am going to be starting Applied Behavior Analysis for my son who has autism. Can you tell me things to ask and what to look for in an ABA provider? — Jane I am so glad you asked this. Within the autism community there are mixed feelings about Applied Behavior Analysis (ABA).  But,… 
"
3,['category-autism-therapy'],https://www.autismparentingmagazine.com/help-autistic-child-terrified-of-storms/,https://www.autismparentingmagazine.com/,"How do you handle high anxiety of a child on the spectrum? My son is 12 years old and where we live there is a hurricane coming soon. Everyone is talking about it and he is terrified. He gets upset when it rains and he cries because he’s scared. With others he appears angry and… 
",HELP: My Autistic Child is Absolutely Terrified of Storms Now,"['help', 'my', 'autistic', 'child', 'is', 'absolutely', 'terrified', 'of', 'storms', 'now', 'how', 'do', 'you', 'handle', 'high', 'anxiety', 'of', 'a', 'child', 'on', 'the', 'spectrum', 'my', 'son', 'is', '12', 'years', 'old', 'and', 'where', 'we', 'live', 'there', 'is', 'a', 'hurricane', 'coming', 'soon', 'everyone', 'is', 'talking', 'about', 'it', 'and', 'he', 'is', 'terrified', 'he', 'gets', 'upset', 'when', 'it', 'rains', 'and', 'he', 'cries', 'because', 'he', 's', 'scared', 'with', 'others', 'he', 'appears', 'angry', 'and']","How do you handle high anxiety of a child on the spectrum? My son is 12 years old and where we live there is a hurricane coming soon. Everyone is talking about it and he is terrified. He gets upset when it rains and he cries because he’s scared. With others he appears angry and… 
"
4,['category-autism-therapy'],https://www.autismparentingmagazine.com/help-i-need-communication-advice-for-autistic-grandson/,https://www.autismparentingmagazine.com/,"A grandfather from Singapore asks… My eldest grandson (age 5) is autistic. His parents work full-time so I am his caretaker.  He is very picky about his food, does not talk, is hyperactive, walks on his toes, has difficulty concentrating, wakes up in the middle of the night, is not potty-trained, and fiddles with his… 
",HELP: I Need Communication Advice for Autistic Grandson,"['help', 'i', 'need', 'communication', 'advice', 'for', 'autistic', 'grandson', 'a', 'grandfather', 'from', 'singapore', 'asks', 'my', 'eldest', 'grandson', 'age', '5', 'is', 'autistic', 'his', 'parents', 'work', 'full', 'time', 'so', 'i', 'am', 'his', 'caretaker', 'he', 'is', 'very', 'picky', 'about', 'his', 'food', 'does', 'not', 'talk', 'is', 'hyperactive', 'walks', 'on', 'his', 'toes', 'has', 'difficulty', 'concentrating', 'wakes', 'up', 'in', 'the', 'middle', 'of', 'the', 'night', 'is', 'not', 'potty', 'trained', 'and', 'fiddles', 'with', 'his']","A grandfather from Singapore asks… My eldest grandson (age 5) is autistic. His parents work full-time so I am his caretaker.  He is very picky about his food, does not talk, is hyperactive, walks on his toes, has difficulty concentrating, wakes up in the middle of the night, is not potty-trained, an"
5,['category-autism-therapy'],https://www.autismparentingmagazine.com/help-my-aspie-lacks-motivation/,https://www.autismparentingmagazine.com/,"Hi, I am the parent of a 13-year-old boy with Asperger’s syndrome.  He was unable to cope with school so he now has a tutor come to the house each day for one hour.  He is very withdrawn and this is worse when his tutor comes.  How do I get him to engage with the… 
",Help: My Aspie Lacks Motivation,"['help', 'my', 'aspie', 'lacks', 'motivation', 'hi', 'i', 'am', 'the', 'parent', 'of', 'a', '13', 'year', 'old', 'boy', 'with', 'asperger', 's', 'syndrome', 'he', 'was', 'unable', 'to', 'cope', 'with', 'school', 'so', 'he', 'now', 'has', 'a', 'tutor', 'come', 'to', 'the', 'house', 'each', 'day', 'for', 'one', 'hour', 'he', 'is', 'very', 'withdrawn', 'and', 'this', 'is', 'worse', 'when', 'his', 'tutor', 'comes', 'how', 'do', 'i', 'get', 'him', 'to', 'engage', 'with', 'the']","Hi, I am the parent of a 13-year-old boy with Asperger’s syndrome.  He was unable to cope with school so he now has a tutor come to the house each day for one hour.  He is very withdrawn and this is worse when his tutor comes.  How do I get him to engage with the… 
"
6,['category-autism-advocacy'],https://www.autismparentingmagazine.com/autism-employment-gap-campaign/,https://www.autismparentingmagazine.com/,"It will be some time before we see a positive result, but the opening shots have been fired in a campaign to encourage the UK Government to tackle the autism employment gap once and for all. High-flying politicians, like Government Minister Penny Mordaunt, have come out in support of the UK’s National Autistic Society (NAS),… 
",Exciting Campaign Launched to Tackle the Autism Employment Gap,"['exciting', 'campaign', 'launched', 'to', 'tackle', 'the', 'autism', 'employment', 'gap', 'it', 'will', 'be', 'some', 'time', 'before', 'we', 'see', 'a', 'positive', 'result', 'but', 'the', 'opening', 'shots', 'have', 'been', 'fired', 'in', 'a', 'campaign', 'to', 'encourage', 'the', 'uk', 'government', 'to', 'tackle', 'the', 'autism', 'employment', 'gap', 'once', 'and', 'for', 'all', 'high', 'flying', 'politicians', 'like', 'government', 'minister', 'penny', 'mordaunt', 'have', 'come', 'out', 'in', 'support', 'of', 'the', 'uk', 's', 'national', 'autistic', 'society', 'nas']","It will be some time before we see a positive result, but the opening shots have been fired in a campaign to encourage the UK Government to tackle the autism employment gap once and for all. High-flying politicians, like Government Minister Penny Mordaunt, have come out in support of the UK’s Nation"
7,['category-autism-advocacy'],https://www.autismparentingmagazine.com/restaurateur-makes-eating-autism-friendly/,https://www.autismparentingmagazine.com/,"Restaurant owner Andrew Iredale could hardly be described as a zealous revolutionary. He certainly doesn’t look like one. But he has introduced a radical shake-up in the way that his eatery welcomes autism-affected families—one in which campaigners hope other restaurateurs will now follow suit. As the father of Josh, an eight-year-old boy with autism, Andrew… 
",How One Restaurateur Makes Eating Out Autism-Friendly,"['how', 'one', 'restaurateur', 'makes', 'eating', 'out', 'autism', 'friendly', 'restaurant', 'owner', 'andrew', 'iredale', 'could', 'hardly', 'be', 'described', 'as', 'a', 'zealous', 'revolutionary', 'he', 'certainly', 'doesn', 't', 'look', 'like', 'one', 'but', 'he', 'has', 'introduced', 'a', 'radical', 'shake', 'up', 'in', 'the', 'way', 'that', 'his', 'eatery', 'welcomes', 'autism', 'affected', 'families', 'one', 'in', 'which', 'campaigners', 'hope', 'other', 'restaurateurs', 'will', 'now', 'follow', 'suit', 'as', 'the', 'father', 'of', 'josh', 'an', 'eight', 'year', 'old', 'boy', 'with', 'autism', 'andrew']",Restaurant owner Andrew Iredale could hardly be described as a zealous revolutionary. He certainly doesn’t look like one. But he has introduced a radical shake-up in the way that his eatery welcomes autism-affected families—one in which campaigners hope other restaurateurs will now follow suit. As t
8,['category-autism-advocacy'],https://www.autismparentingmagazine.com/lloyd-claycomb-views-on-autism/,https://www.autismparentingmagazine.com/,"Autism can be one of the most difficult diagnoses to accept for parents. This is particularly due to the challenging symptoms associated with autism spectrum disorder.  As with many things that society does not understand, autism has a certain stigma attached to it, too. This can make it quite difficult for families struggling to cope… 
",Lloyd Claycomb’s Views on Autism,"['lloyd', 'claycomb', 's', 'views', 'on', 'autism', 'autism', 'can', 'be', 'one', 'of', 'the', 'most', 'difficult', 'diagnoses', 'to', 'accept', 'for', 'parents', 'this', 'is', 'particularly', 'due', 'to', 'the', 'challenging', 'symptoms', 'associated', 'with', 'autism', 'spectrum', 'disorder', 'as', 'with', 'many', 'things', 'that', 'society', 'does', 'not', 'understand', 'autism', 'has', 'a', 'certain', 'stigma', 'attached', 'to', 'it', 'too', 'this', 'can', 'make', 'it', 'quite', 'difficult', 'for', 'families', 'struggling', 'to', 'cope']","Autism can be one of the most difficult diagnoses to accept for parents. This is particularly due to the challenging symptoms associated with autism spectrum disorder.  As with many things that society does not understand, autism has a certain stigma attached to it, too. This can make it quite diffi"
9,['category-autism-advocacy'],https://www.autismparentingmagazine.com/erasing-prejudice-spectrum-violence/,https://www.autismparentingmagazine.com/,"An Interview with Dr. Tony Attwood, PhD, AS/ASD expert As the mother of a Spectrum Teen, I am becoming concerned about prejudice against persons with Autism Spectrum/Autism Spectrum Disorder (AS/ASD) because of three shootings that occurred in the U.S. where the shooters were identified as having AS. As a mother, I want to protect and… 
",Erasing the Prejudice – Are People on the Spectrum Really More Violent?,"['erasing', 'the', 'prejudice', 'are', 'people', 'on', 'the', 'spectrum', 'really', 'more', 'violent', 'an', 'interview', 'with', 'dr', 'tony', 'attwood', 'phd', 'as', 'asd', 'expert', 'as', 'the', 'mother', 'of', 'a', 'spectrum', 'teen', 'i', 'am', 'becoming', 'concerned', 'about', 'prejudice', 'against', 'persons', 'with', 'autism', 'spectrum', 'autism', 'spectrum', 'disorder', 'as', 'asd', 'because', 'of', 'three', 'shootings', 'that', 'occurred', 'in', 'the', 'u', 's', 'where', 'the', 'shooters', 'were', 'identified', 'as', 'having', 'as', 'as', 'a', 'mother', 'i', 'want', 'to', 'protect', 'and']","An Interview with Dr. Tony Attwood, PhD, AS/ASD expert As the mother of a Spectrum Teen, I am becoming concerned about prejudice against persons with Autism Spectrum/Autism Spectrum Disorder (AS/ASD) because of three shootings that occurred in the U.S. where the shooters were identified as having AS"
