post id,title,text,href,user id,mother post id
1,Possible autism signs ?,"
my nephew who is four years has very bad mood swings and stops what he is doing and starts opening and closing of his  hands. he tells his mother that he wants to break her bones and break the house. he goes to the bathroom on the porch and steps in ti and thinks it's funny. he is in time out at school 4 out of 5 days and the daycare provider said he needs to be seen by a doctor. my sister is so frustrated she doesn't know what to do. other things he does is spit at people, hit others, punches his mom, yells a lot, calls eveyone stupid, says he wants to hurt animals and people. his speech is hard to understand. he starts a conversation and be fore he can finish he'll stop and talk about something completly different. my sister doesn't know what to do. she thinks possible autism. what do you think?
",http://ehealthforum.com/health/possible-autism-signs-t230405.html,55473,0
2,Possible autism signs ?,"
Hi, welcome to the ehealth forum and I am glad to help you.
It is very difficult to reach a definitive diagnosis with the information that you have given about your 4 year old nephew but I will still hint at the possibilities.
The first possibility to consider is that of disruptive behavioral disorder characterised by destructive and disobedient behaviors as in your nephew like hitting others, yelling, calling others  stupid and missing school 4 out of 5 days. As children age, oppositional and defiant behavior may continue and result in children having persisting conflicts with adults and peers at home and at school.
The other likely possibility though is that of autism as indicated by stereotyped and repetitive motor mannerisms of opening and closing of hands plus the speech problems like inability to sustain a conversation, delay in development of spoken language(as you said that his speech is hard to understand),preoccupation with stereotyped interest(as in going to bathroom on the porch).
The other likely possibility is that of premorbid stage of childhood schizophrenia in the form of disorganized speech(before he can finish one talk he stops and talks about something different and completely unrelated),aggressive behaviour, disruptive behaviour, alternating moods inappropriate to environment, school problems etc. The only thing missing is the presence of delusions and hallucinations which usually do not develop before mid adolescence. So it is difficult to commit schizophrenia but still suggestive of premorbid stage suggesting the likelihood of developing into full fledged schizophrenia in adolescent years of life. 
All above are the likely possibilities only as it is not possible to reach definitive diagnosis without detailed interview of child and parents and observation of the child in person. You must consult your pediatrician for the same as early intervention is always helpful in treating the psychopathology.
Hope this helps. Take care.
",http://ehealthforum.com/health/possible-autism-signs-t230405.html,239324,0
3,Autism? i think he is on point for 4 yrs old.,"
My spn is 4 years old due to go to full time school reception in January 2012. His teacher along with a SENCO teacher said to me that they feel that he may have autism. The reason they gave were he does not always look at them when they are talking to him, he may do group work for 10 minutes then he is not interested and gets distracted by things around him. And he cannot ride a bike. Firstly i have not taught him to ride a bike so hence why he cannot and he has not taught himself. They say he can read,knows colours, shapes,alphabet,numbers, all the names of the children in his class,if they put something up they think he cannot read he can.He doesn't hold his pen properly.He can hold conversations with children and adults,i potty trained him in a month aug 2010, he asked for things says please and thank you.Gives me direct eye contact when i talk to him or anyone family based. Only when he is excited he flaps his hands.At 4 i think he is on point for his age. what do u think
",http://ehealthforum.com/health/autism-i-think-he-is-on-point-for-yrs-old-t312115.html,55473,2
4,Autism? i think he is on point for 4 yrs old.,"
Hi, welcome to the ehealth forum and I am glad to help you.
You seem concerned by the possibility of autism in your 4 year old son.
Autism includes a broad spectrum of symptoms. Therefore, a single, brief evaluation cannot predict a child's true abilities. Ideally, a team of different specialists will evaluate the child. They might evaluate:communication,language,motor skills,speech,success at school,thinking abilities
Because there is no biological test for autism, the diagnosis will often be based on very specific criteria from a book called the Diagnostic and Statistical Manual IV.
Autism can be associated with other disorders that affect the brain, such as:Fragile X syndrome,Mental retardation,Tuberous sclerosis
You must consult an appropriate medical facility where Autism kids are evaluated and treated as the same is not possible online.
Hope this helps. Take care.
Note: This answer is not intended as and does not substitute for medical advice - the information presented is for patient education only. Please see your personal physician for further evaluation of your individual case.
",http://ehealthforum.com/health/autism-i-think-he-is-on-point-for-yrs-old-t312115.html,239324,2
5,Symptoms of autism,"
My son is now nineteen months old and doesnt say any words at all.  He jabbers a lot but you can't understand any of it.  He seems very normal otherwise. He plays and laughs and smiles. I've read things about how autistic children don't hold eye contact. He can and does. We have a seven year old son as well and I don't remember it taking this long for him to talk. Should I  be concerned that he may be autistic? I'm a nervous wreck over this.
",http://ehealthforum.com/health/symptoms-of-autism-t200703.html,55473,4
6,Symptoms of autism,"
Autism is a medical condition in which there are problems with communication and social interaction.  This is a rather serious condition to be diagnosed without a complex and complete examination.  The child might lack eye contact, as you mentioned.  
The babbling in these children might be accompanied with unusual gestures, repeating othersâ words, whereas the words are less frequently associated with appropriate gestures.  Repetitive behaviour might be one of the symptoms that are most easy to recognize.  It might include: compulsive behaviour, ritualistic behaviour, stereotypy, or even self-injury.
As for the slow improvement of the speech, please consider that many children just need more time to talk and to be understood.  Different conditions might be causing this situation.  Sometimes the child might need help from a specialist for speech and language therapy, whom you are advised to visit.  
S/he might be able to detect if there are any physiological problems with the speech-related organs (the tongue, the palate, the throat) or the child simply needs more time to develop the speech.
To exclude autism you might want to take your child to a neuropsychologist pediatrician.  Until than, please keep in mind that there are many children at the age of 19 months whose speech is not fluent enough to be understood clearly.
",http://ehealthforum.com/health/symptoms-of-autism-t200703.html,149392,4
7,Autism Recovery Success Story,"
My daughter was diagnosed with autistic spectrum disorder at 20 months old.  Since that day I have been on a frantic search for help.  I have tried everything that I thought was harmless (GFCF diet, various therapy approaches, DAN doctors and homeopathic medicine).  It wasn't until I stumbled upon macrobiotics that I saw dramatic and relatively rapid improvements in my daughter's behavior.  It was a time demanding process, cooking, washing dishes, buying ingredients, not to mention training my child to eat this new food.  All this was challenging and seemed impossible at first.  It only took 2 weeks of persistent and patient feeding ""training"" to get her to eat EVERYTHING on her diet.  Quite remarkably two weeks after she was eating her diet I started seeing improvements.  I still remember the moment when she first looked at me.  It occurred quite naturally and without her need of anything from me.  She kept her eyes on me for what seemed like an eternity.  Earlier that same day she was playing in our neighbor's backyard and looked back to see if I was watching her as she was playing on their playground.  I will never forget those moments.  From there on things just started happening and while I can't quite recall the timeline, soon she had joint attention, was responding to praise, and at one point was so needy of my attention would turn my head towards her and tell me ""Look at my eyes"" when she wanted me to watch/listen to her.  
My daughter is now six.  She can't be picked out of the crowd as anything but a happy, sweet, loving, interactive and friendly kid.  After her diagnosis in my wildest dreams I couldn't imagine that she would be doing so well.  I would highly recommend giving macrobiotics a try.  It is fairly inexpensive, and in my experience the results are unmatched to anything else we tried.  It does take time and patience especially in the beginning.  The possible outcome, however, is worth all that tremendous effort.   
I recently started a non-for profit organization, Macrobiotic Autism Treatment.  Our organization exists to improve the lives of other autistic children and their families.  
",http://ehealthforum.com/health/autism-recovery-success-story-t351300.html,516844,6
8,Autism Recovery Success Story,"
I would like to ask you if you avoided chicken and egg for your daughter as the chi/ki is wrong in this case:
CHICKEN AND EGGS 
Chicken makes the body tight, hard, and inflexible, especially the muscles, bones, and nerves. The upper back tends to become round, the shoulder blades tighten and harden, and fat gathers in the throat and neck, causing possible thyroid problems. Stiffness in the extremities, especially swollen and painful joints, leads to arthritis as the fingers and toes begin to take on the clawlike qualities of poultry. Wobbly thin legs, excessive blinking, pointed nose, and tics, twitches, or other jerky motions frequently accompany long-term chicken eating. Mentally, eating chicken contributes to henpecking, obsession with details and trivia, and a small, fragmented view of life. 
Eggs are one of the most condensed foods eaten by humans and give extreme, contractive energy. Excessive egg intake creates hardness in the ovaries, prostate, pancreas, liver, and other vital organs, leading to cysts, tumors, and possible cancer. Energetically, people who eat a lot of eggs have a vibrational shell around them that makes it hard to communicate with others. Just as a baby chick breaks out of its shell, egg eating can lead to spontaneous eruptions and outbursts. Eggs give strong analytic and reasoning abilities, charging the left brain. 
From: Macrobiotic Path to Total Health, Michio KUSHI & Alex JACK, Ballantine Books, 2003
",http://ehealthforum.com/health/autism-recovery-success-story-t351300.html,773278,6
9,Autism Recovery Success Story,"
Your daughter is not only the winner here, I suppose you have equally contributed by opening the non-profit organization for treatment of autistic patients.
",http://ehealthforum.com/health/autism-recovery-success-story-t351300.html,782341,6
10,Autism Recovery Success Story,"
Very helpful post and feeling very happy for your daughter success and you are also big winner of your patient.
",http://ehealthforum.com/health/autism-recovery-success-story-t351300.html,749136,6
