user id,user description
55473,DoctorQuestion  
239324, Harpreet  Singh   
149392,Dr. Goce  Aleksovski   
516844,MacrobioticsAndASD   
773278,JLMC43FR   
782341,RajithaGoli   
749136,shericmcfarland Experienced User 
784855,WorkoHolic   
779182,Danielgeraldjilg   
777338,JakeASD   
778666,omi313   
776534,Hmom05   
772958,Twinmommy40   
667056,MaryannC   
668662,44433   
655780,mng622   
630934,Pipsy Experienced User 
636643,DeGreef   
645063,AakritiGhai   
359361,AmyA Extremely eHealthy 
225431,DaddyzAngel1825   
233292,braves11390   
687929,mylesmommy1   
704882,autism_mom   
711077,OliviaLife   
666891,Keng   
684351,SeriouslySore   
607499,TheGuardian   
676795, Shafi Ullah Khan   
644463,cncmrhkmh1000   
684121,tugees   
695659,Rogerharris   
684743,sigoisette   
605723,ABBYBABYGIRL   
704376,Taajsgpm   
636885,oanloves   
709539,marryciren   
707446,susanlinda823   
716881,georgekidd   
717066,TheosYgeias   
,  
702547, Muhammad  Khalil   
720631,TamaraWatson   
706284,manzarm   
313822,jk9   
668771,deanodowney   
675981,Juliet08 Experienced User 
578954,elrobbo   
579216,Rmshope   
605369,CaramelQueen   
605429,Josephkzm   
313175,Autist   
621617,aabir0906   
724934,MarthaKed   
92304,charmedwitch  Supporter
71395,TMJWorld Extremely eHealthy 
55269,aura   
91919,Georgia59 Especially eHealthy 
82225,ladylee70 Extremely eHealthy 
78878,Mommy35 Extremely eHealthy 
116173,CharmedOne   
123989,livewire89   
125447,orthodox23   
718768,SkyOD   
721431,aliretas   
746300,millergirl0705   
551032,Adam_Kaplan   
727913,JustVisiting92   
739682,amandaaastyerr   
772742,Jittythomas   
751253,KennedyLee3425   
119263,frankweb   
186619,TERRAFIRMANOVA   
350521,Zadie   
355804,sethfoster   
419993,Nanamin   
410839,scout16   
442921,hotmommaca   
459866,fauxnom   
232571,takeitfor4   
477438,aryaunderfoot   
543759,purple777   
551262,roidz   
554491,Johanna777   
651794,chelseam2   
766437,Amanda721   
762412,Mommyof21306   
759750,angiewriter   
709492,ajit321   
753420,QM   
553836,brightsunshine   
734321,c0nn0rsm0m2014   
707198,ScootyDash   
532777,frayed   
114338,amandaanderson   
91527,"Hart74 Active User, very eHealthy "
90833,rooted Supporter 
145063,mamamia3   
153268,nicolle73   
157486,RainbowBright   
175495,MOMOFCHAOS   
199510,obxgurl25   
238144,moniquej4   
244460,stringerjanet   
255113,k1219   
264307,martini48726   
268601,rainrg58   
299527,geneldds   
372059,PDX_DADDY   
403367,parentsatwitsend   
407807,autismrecovery   
227032,frankieroiscute  Experienced User
382013,ohcalcuta Extremely eHealthy 
423655,Sehya   
637690,benjiwade   
685989,Tasman   
700883,Danny101   
707909,chloepaltrow   
151927,Gabz   
55805,rosejackson Extremely eHealthy 
201420,BumbleBeeBounce   
202947,Dazza01   
218233,applegreen   
240923,Mist9008   
545177,marms   
555495,mo58   
706328,guest55355   
254192,jean1965   
278689,persephone39   
275305,sogden2007   
317469,satellitexheart   
370318,grammymary   
450770,malgirl   
464016,Garfield47   
520319,dmc9cm   
546441,Canadianmom1   
572234,Andie36   
548768,DMomma   
581529,Orangefishy   
603509,marie1084   
534195,clintoncerejo   
621314,BadAssBurger   
705648,trooper22   
582742,rajabhaja   
144978,bee1687   
379907,Intracellular Experienced User 
616321,AcquaMarine   
701267,Brenda2018   
154803,thepreacher   
153854,unable2ignore   
172757,Niisu   
555630,cmac94   
681232,WorriedSick9010   
680168,Piyush_Singh   
212549,lindamoodbell2   
671336,user671336   
653377,Srajin   
687671,James02   
663843,Meiya27   
679902,gurlgurlgurlgurlzzzzz   
579100,Wardiina   
595619,Mel1982   
595636,darrinpgamble   
598448,Phlox   
202923,icetiger   
679667,xLostSoulx   
549529,stephiecakes1022   
645155,biobased   
163964,maureen43   
572967,visionist   
413905,Ann55 Experienced User 
579082,LauraWeeks   
576523,Dragon0672   
659448,booing   
650268,somethingoriginal   
642022,CCRN   
369223,kristigraham Community Volunteer 
437658,Goldenmum   
414556,dixy82   
355775,"oopsagain Active User, very eHealthy "
634355,kannes   
567603,DarkMaiden   
504301,dools   
623008,KelleyS8255   
621600,MikeWaret   
81670,reneblack  Experienced User
155076,Aquamarine_Angel Experienced User 
176832,kinetico Experienced User 
611814,JimAllenJA   
610307,Lisahb   
571093,cheeriobaby   
347316,Gaelic Especially eHealthy 
598210,jrene80   
591064,yuki3   
592966,folkguitarist   
506236,pantherskillseven   
509538,guest63486   
340751,scared_and_alone   
387951,d777   
588073,KermitmentPhobe   
582605,GreyAndWhite   
564716,jagermaestro   
502855,S98052   
452348,Get728healthy Experienced User 
576765,ritap   
65980,fireball01   
121915,antigone Extremely eHealthy 
574053,sa5852   
231293,SimpleJack20   
239169,hombrerubio Experienced User 
147064,deteragram Supporter 
144935,J3nnyuk Extremely eHealthy 
329164,safari3   
342141,seasick09   
386615,sonnyd7   
432028,MrsHernandez   
564310,annixify   
211552,Sandee5   
231503,mybelovedson   
356815,batman1   
546836,KillTheDead   
536752,nerddychickk   
543283,Danibell   
113304,Mum of 4   
76225,ritalindanger   
119436,karen_r   
122078,peppermint1993   
165396,katsniche   
183904,Eccentric_Aloof_Loner   
257315,indewrtr88   
539910,ChaosTheory   
522807,Dramagirl534   
419602,Ephemerol9   
513561,crd7x7x7   
520069,autiemom   
91944,CaNdItAs CrAzY LaNd  Supporter
40248,michelle1981 Supporter 
519006,jdhawk   
87358,mc4ever02 Extremely eHealthy 
63215,Mabel Especially eHealthy 
95722,"aflsh Active User, very eHealthy "
515322,kbeller88   
273969,shahzadyusuf   
388586,adricat   
419634,Get391healthy   
511706,Wizkid   
163883,parent   
471458,anonm   
510441,misssjess   
503688,dellauk   
503386,MommaV   
441489,wwaarrddy   
445729,OutgoingGirl2   
502880,Meely   
448714,EstrangedDaydreamer   
502068,flowersandfire   
488455,flamewings   
393656,Luckyb   
489009,sarahprinze20   
485834,kc1987   
470622,sdubog8   
470485,guest49085   
457786,jpfamily4   
456916,Poko1956   
438009,nat567   
394529,callarnessa   
457621,Rtty2go   
456273,Siucra   
165478,deana736   
129697,mewtwo55555   
451258,aglutengirl   
268047,nbabygurl1978   
449865,TRSHIF2   
138451,Clkdj   
138790,supermommyof2   
159786,brown83   
192409,scaffelpike   
405932,MrHeretic   
448614,diane11   
101448,QuantumGravity   
106637,all4him   
108203,CarolDiane Extremely eHealthy 
184358,protector33   
223269,guest66153   
224975,Kevin111   
448533,Miawer   
434591,MichelleL   
3169,kat1999   
2630,Carol_D_mom23   
11916,MasonsMommy   
14044,MikeD   
22246,emilymeghansmom   
22258,Torismom   
23130,Robertsmommy   
72698,jesus rules   
91260,nikki27   
128848,dragongirl08   
101217,jennikay   
149512,Associated   
436257,kazzywazzy   
428903,gfriday   
108046,jessiam   
105858,TaoWarrior   
108844,joeychristou   
137462,Razor89   
422670,GCG22   
409900,maria465   
410396,Laurasyl   
410398,Paws4Autism   
119290,catonia  Experienced User
135344,saulfrank   
136316,snsnichols2332   
136417,akaratechick   
407366,bluesmoth9   
396030,kayecares   
343731,Flybri89   
341250,eHealthGuide  Extremely eHealthy 
391690,loveangel Experienced User 
336431,mariaevett2011   
227552,Takoto   
232444,pinky92   
274236,losingit   
277204,beastychan   
78022,tinkinpink84  Especially eHealthy
118406,csadcock   
39676,Tylanas  Especially eHealthy
98083,"lonestarguy Active User, very eHealthy "
122752,kulon   
180668,Lydia32 Experienced User 
320049,futuregohangurl  Experienced User
363120,introverted   
375493,StrictlyForward53011   
372468,omerbasket   
368673,PegBliss   
121384,pieces_mended   
126088,z8NeonGenesis Experienced User 
126904,hotsun129   
367743,amybee   
363619,Cristalacar   
356201,Roygbiv   
350093,hanyousaria   
224665,gabbid   
342277,GrandmotherRobyn   
339915,LittleDarling   
231564,scoobydoo71   
346050,SallyFirst   
353719,draygonfly   
338350,ingry22   
22170,confused123456   
27233,htanguay   
32378,Grashoper   
35580,The Road Runner   
50632,paul714   
50283,bel_21 Experienced User 
74441,robbin   
63409,Spirit Experienced User 
150469,lfc   
195823,clare25   
205473,dianabarnett   
224324,smilegirl90   
227082,40228902   
342996,spectrummom   
54203,HcoBrunette06 Especially eHealthy 
92183,"ShiningShannon Active User, very eHealthy "
78893,Idony Extremely eHealthy 
89447,Willa Weintraub Extremely eHealthy 
187113,phelangelica   
188083,LisaJoanne Experienced User 
218574,tukadean   
252048,Concernmom   
267736,35yroldfemale   
320298,speechiegirl   
324652,WildlifeGuru   
315400,mandysue2   
296653,ObesityCare  Experienced User
328929,amylilyanna   
329229,aly3   
325735,OoblaGal   
135604,nharvey   
322239,kleeklynn   
322044,KayTG   
302454,markneary   
317155,southern_belle1985   
293801,justlookin   
252246,DESIREEM   
307533,powenm   
307140,Moon_A   
146983,mousie_67   
173897,worriedmama   
295905,caringfriendoflupus Experienced User 
218190,neril   
298151,becksfreespirit   
187992,julina   
155399,Marii   
180366,MyrahU Extremely eHealthy 
192189,firebabe1   
197625,stormy_81   
244776,cherry47   
246793,nitikasnv   
263162,sfoster   
226196,grandma46   
177107,FadedRose Community Volunteer 
228205,professortom   
296014,jbbenz   
226626,lq2031   
239846,Angel_ryan   
92302,PsychoPsychic   
198320,SisER   
229064,martinimadness   
254482,writer75   
284180,igetstronger   
172343,SoccerMom101   
255724,sansal   
133832,Hallokidoki   
94385,luvumason   
140293,Honeycomb Experienced User 
181645,Jacquip   
240664,mypoorson   
202946,4pebbles2   
203098,mommy23angelz   
234163,goldenbrown   
104795,KingRett   
108106,tasha045   
133927,2fasi   
210646,baggie   
116180,mominashoe Community Volunteer 
118999,Balldez   
128029,goche21   
142912,smoochypuma   
210236,conscientious_observer   
196411,mom5   
200774,mohito1984   
188005,wendyrs Supporter 
169750,mommy247   
199341,Twilit_Violet   
198558,desaparecidos   
198525,acie616   
179353,mychildren   
56757,"yogahoneybunny  Active User, very eHealthy"
114590,noga88   
11098,Jaydensmommy Advanced Support Team 
148045,HealthyLiving8   
172706,pseudoborg   
121750,wavyhaired   
134292,amanda st.   
161072,dylansdad   
164295,rhedroses   
140177,whereismymind   
117585,Mr_Del  Experienced User
148859,anita44   
149252,mommajessto2   
149244,Vilocon   
151215,jobethrj79   
59270,Bridget  Especially eHealthy
63728,Galaxy Supporter 
149394,UncleSam   
115042,help_me_pleez   
116867,homeschoolmom   
117782,married2baby   
131422,PlacidIntricacy Experienced User 
139904,momseekingforhelp   
141141,abrahman87   
141196,Sodalas   
121603,Mlzimmer79   
121877,just4this   
137933,Corwinrudy   
118543,coonfuusedkidd   
119078,Sinc17 Experienced User 
90100,Philo Experienced User 
102180,"woops Active User, very eHealthy "
99420,Jeoffrey   
129335,Confused18   
128566,Dr. Nikola Doctor 
154105,TogetherBuildingPeople   
2,admin  Advanced Support Team
127232,Telecaster   
64021,aduke00  Experienced User
126123,Heir-of-God   
84738,guest95866 Extremely eHealthy 
3723,Fairy Godmother Supporter 
123891,CM495   
112598,Katrinadoodle  Extremely eHealthy
105563,Verizon-y Extremely eHealthy 
115979,manuftw82 Supporter 
88824,lats Experienced User 
76110,Jules Extremely eHealthy 
123571,arealmom   
116575,"Darkmoon Active User, very eHealthy "
107190,love_my_dughter   
54312,yellow ribbon Especially eHealthy 
84024,tues0974 Extremely eHealthy 
56778,Eyes Wide Shut Especially eHealthy 
91813,Shanyan Extremely eHealthy 
55571,jessesgirl Extremely eHealthy 
109285,kaiteo Extremely eHealthy 
99788,fairytale007 Extremely eHealthy 
119443,designlady Experienced User 
70290,AyaMiyaki Especially eHealthy 
98090,young Girl Especially eHealthy 
121259,capecod   
121310,Seraph Experienced User 
32343,hopefulmjz Extremely eHealthy 
44861,oh_mommy Supporter 
51517,tigresacanela24 Especially eHealthy 
109685,danacombs   
92018,sillyakchick Extremely eHealthy 
100249,ilovemyfishies81 Supporter 
116469,shdubbleorti   
113639,waite71   
104931,PghMom   
56476,Becky Especially eHealthy 
103814,candicole   
89527,1nsomni4   
101899,jackal64   
95418,specialmomx2   
103706,Yanceyam   
51074,Birch Extremely eHealthy 
80787,Dannzibelle Supporter 
92136,Anne123 Experienced User 
100291,nicnac01   
100460,knarf72 Experienced User 
36210,vanessalouanne Extremely eHealthy 
51223,"Cambion Active User, very eHealthy "
97493,mrsbuzski Experienced User 
79637,tdr Supporter 
63651,Magical Logic Extremely eHealthy 
68377,Emma2 Extremely eHealthy 
23115,lil_blaze2004 Community Volunteer 
91811,kaerbear Most Diplomatic Poster 
70187,musikmaker Extremely eHealthy 
97167,LittleCaseysMommyJen Experienced User 
68273,CAMEY   
66404,DylanJacob Experienced User 
36415,MomAndaHalf   
36562,NoRelief   
25306,zachy   
16327,vmreichwein   
