,title,source,category,text,href,tokens
0,"Autism, Head Banging and other Self Harming Behavior",https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"For children with autism spectrum disorder (ASD), head banging is a common way to self-soothe and communicate needs. Both neurotypical and autistic babies and toddlers seek to recreate the rhythm that stimulated their vestibular system while in utero. Other rhythmic habits that fuel a child’s kinesthetic drive include head rolling, body rocking, biting, and thumb… Continue Reading
",https://www.autismparentingmagazine.com/autism-self-harm/,"['for', 'children', 'with', 'autism', 'spectrum', 'disorder', 'asd', 'head', 'banging', 'is', 'a', 'common', 'way', 'to', 'self', 'soothe', 'and', 'communicate', 'needs', 'both', 'neurotypical', 'and', 'autistic', 'babies', 'and', 'toddlers', 'seek', 'to', 'recreate', 'the', 'rhythm', 'that', 'stimulated', 'their', 'vestibular', 'system', 'while', 'in', 'utero', 'other', 'rhythmic', 'habits', 'that', 'fuel', 'a', 'child', 's', 'kinesthetic', 'drive', 'include', 'head', 'rolling', 'body', 'rocking', 'biting', 'and', 'thumb', 'continue', 'reading']"
1,High Quality ABA Treatment:  What Every Parent Needs to Know,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"Dr. Stephen Shore once said “If you’ve met one person with autism, you’ve met one person with autism.”  As many of you know, the Centre for Disease Control and Prevention reports that there are now 1 in 68 children living with autism in the United States.  What this means for each child and his/her family… Continue Reading
",https://www.autismparentingmagazine.com/high-quality-aba-treatment/,"['dr', 'stephen', 'shore', 'once', 'said', 'if', 'you', 've', 'met', 'one', 'person', 'with', 'autism', 'you', 've', 'met', 'one', 'person', 'with', 'autism', 'as', 'many', 'of', 'you', 'know', 'the', 'centre', 'for', 'disease', 'control', 'and', 'prevention', 'reports', 'that', 'there', 'are', 'now', '1', 'in', '68', 'children', 'living', 'with', 'autism', 'in', 'the', 'united', 'states', 'what', 'this', 'means', 'for', 'each', 'child', 'and', 'his', 'her', 'family', 'continue', 'reading']"
2,Help: I Don’t Know How to Choose an Applied Behavior Analysis Provider,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba," Help! I am going to be starting Applied Behavior Analysis for my son who has autism. Can you tell me things to ask and what to look for in an ABA provider? — Jane I am so glad you asked this. Within the autism community there are mixed feelings about Applied Behavior Analysis (ABA).  But,… Continue Reading
",https://www.autismparentingmagazine.com/choosing-aba-provider/,"['help', 'i', 'am', 'going', 'to', 'be', 'starting', 'applied', 'behavior', 'analysis', 'for', 'my', 'son', 'who', 'has', 'autism', 'can', 'you', 'tell', 'me', 'things', 'to', 'ask', 'and', 'what', 'to', 'look', 'for', 'in', 'an', 'aba', 'provider', 'jane', 'i', 'am', 'so', 'glad', 'you', 'asked', 'this', 'within', 'the', 'autism', 'community', 'there', 'are', 'mixed', 'feelings', 'about', 'applied', 'behavior', 'analysis', 'aba', 'but', 'continue', 'reading']"
3,HELP: My Autistic Child is Absolutely Terrified of Storms Now,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"How do you handle high anxiety of a child on the spectrum? My son is 12 years old and where we live there is a hurricane coming soon. Everyone is talking about it and he is terrified. He gets upset when it rains and he cries because he’s scared. With others he appears angry and… Continue Reading
",https://www.autismparentingmagazine.com/help-autistic-child-terrified-of-storms/,"['how', 'do', 'you', 'handle', 'high', 'anxiety', 'of', 'a', 'child', 'on', 'the', 'spectrum', 'my', 'son', 'is', '12', 'years', 'old', 'and', 'where', 'we', 'live', 'there', 'is', 'a', 'hurricane', 'coming', 'soon', 'everyone', 'is', 'talking', 'about', 'it', 'and', 'he', 'is', 'terrified', 'he', 'gets', 'upset', 'when', 'it', 'rains', 'and', 'he', 'cries', 'because', 'he', 's', 'scared', 'with', 'others', 'he', 'appears', 'angry', 'and', 'continue', 'reading']"
4,HELP: I Need Communication Advice for Autistic Grandson,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"A grandfather from Singapore asks… My eldest grandson (age 5) is autistic. His parents work full-time so I am his caretaker.  He is very picky about his food, does not talk, is hyperactive, walks on his toes, has difficulty concentrating, wakes up in the middle of the night, is not potty-trained, and fiddles with his… Continue Reading
",https://www.autismparentingmagazine.com/help-i-need-communication-advice-for-autistic-grandson/,"['a', 'grandfather', 'from', 'singapore', 'asks', 'my', 'eldest', 'grandson', 'age', '5', 'is', 'autistic', 'his', 'parents', 'work', 'full', 'time', 'so', 'i', 'am', 'his', 'caretaker', 'he', 'is', 'very', 'picky', 'about', 'his', 'food', 'does', 'not', 'talk', 'is', 'hyperactive', 'walks', 'on', 'his', 'toes', 'has', 'difficulty', 'concentrating', 'wakes', 'up', 'in', 'the', 'middle', 'of', 'the', 'night', 'is', 'not', 'potty', 'trained', 'and', 'fiddles', 'with', 'his', 'continue', 'reading']"
5,Help: My Aspie Lacks Motivation,https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"Hi, I am the parent of a 13-year-old boy with Asperger’s syndrome.  He was unable to cope with school so he now has a tutor come to the house each day for one hour.  He is very withdrawn and this is worse when his tutor comes.  How do I get him to engage with the… Continue Reading
",https://www.autismparentingmagazine.com/help-my-aspie-lacks-motivation/,"['hi', 'i', 'am', 'the', 'parent', 'of', 'a', '13', 'year', 'old', 'boy', 'with', 'asperger', 's', 'syndrome', 'he', 'was', 'unable', 'to', 'cope', 'with', 'school', 'so', 'he', 'now', 'has', 'a', 'tutor', 'come', 'to', 'the', 'house', 'each', 'day', 'for', 'one', 'hour', 'he', 'is', 'very', 'withdrawn', 'and', 'this', 'is', 'worse', 'when', 'his', 'tutor', 'comes', 'how', 'do', 'i', 'get', 'him', 'to', 'engage', 'with', 'the', 'continue', 'reading']"
6,Exciting Campaign Launched to Tackle the Autism Employment Gap,https://www.autismparentingmagazine.com/,category-autism-advocacy,"It will be some time before we see a positive result, but the opening shots have been fired in a campaign to encourage the UK Government to tackle the autism employment gap once and for all. High-flying politicians, like Government Minister Penny Mordaunt, have come out in support of the UK’s National Autistic Society (NAS),… Continue Reading
",https://www.autismparentingmagazine.com/autism-employment-gap-campaign/,"['it', 'will', 'be', 'some', 'time', 'before', 'we', 'see', 'a', 'positive', 'result', 'but', 'the', 'opening', 'shots', 'have', 'been', 'fired', 'in', 'a', 'campaign', 'to', 'encourage', 'the', 'uk', 'government', 'to', 'tackle', 'the', 'autism', 'employment', 'gap', 'once', 'and', 'for', 'all', 'high', 'flying', 'politicians', 'like', 'government', 'minister', 'penny', 'mordaunt', 'have', 'come', 'out', 'in', 'support', 'of', 'the', 'uk', 's', 'national', 'autistic', 'society', 'nas', 'continue', 'reading']"
7,How One Restaurateur Makes Eating Out Autism-Friendly,https://www.autismparentingmagazine.com/,category-autism-advocacy,"Restaurant owner Andrew Iredale could hardly be described as a zealous revolutionary. He certainly doesn’t look like one. But he has introduced a radical shake-up in the way that his eatery welcomes autism-affected families—one in which campaigners hope other restaurateurs will now follow suit. As the father of Josh, an eight-year-old boy with autism, Andrew… Continue Reading
",https://www.autismparentingmagazine.com/restaurateur-makes-eating-autism-friendly/,"['restaurant', 'owner', 'andrew', 'iredale', 'could', 'hardly', 'be', 'described', 'as', 'a', 'zealous', 'revolutionary', 'he', 'certainly', 'doesn', 't', 'look', 'like', 'one', 'but', 'he', 'has', 'introduced', 'a', 'radical', 'shake', 'up', 'in', 'the', 'way', 'that', 'his', 'eatery', 'welcomes', 'autism', 'affected', 'families', 'one', 'in', 'which', 'campaigners', 'hope', 'other', 'restaurateurs', 'will', 'now', 'follow', 'suit', 'as', 'the', 'father', 'of', 'josh', 'an', 'eight', 'year', 'old', 'boy', 'with', 'autism', 'andrew', 'continue', 'reading']"
8,Lloyd Claycomb’s Views on Autism,https://www.autismparentingmagazine.com/,category-autism-advocacy,"Autism can be one of the most difficult diagnoses to accept for parents. This is particularly due to the challenging symptoms associated with autism spectrum disorder.  As with many things that society does not understand, autism has a certain stigma attached to it, too. This can make it quite difficult for families struggling to cope… Continue Reading
",https://www.autismparentingmagazine.com/lloyd-claycomb-views-on-autism/,"['autism', 'can', 'be', 'one', 'of', 'the', 'most', 'difficult', 'diagnoses', 'to', 'accept', 'for', 'parents', 'this', 'is', 'particularly', 'due', 'to', 'the', 'challenging', 'symptoms', 'associated', 'with', 'autism', 'spectrum', 'disorder', 'as', 'with', 'many', 'things', 'that', 'society', 'does', 'not', 'understand', 'autism', 'has', 'a', 'certain', 'stigma', 'attached', 'to', 'it', 'too', 'this', 'can', 'make', 'it', 'quite', 'difficult', 'for', 'families', 'struggling', 'to', 'cope', 'continue', 'reading']"
9,Erasing the Prejudice – Are People on the Spectrum Really More Violent?,https://www.autismparentingmagazine.com/,category-autism-advocacy,"An Interview with Dr. Tony Attwood, PhD, AS/ASD expert As the mother of a Spectrum Teen, I am becoming concerned about prejudice against persons with Autism Spectrum/Autism Spectrum Disorder (AS/ASD) because of three shootings that occurred in the U.S. where the shooters were identified as having AS. As a mother, I want to protect and… Continue Reading
",https://www.autismparentingmagazine.com/erasing-prejudice-spectrum-violence/,"['an', 'interview', 'with', 'dr', 'tony', 'attwood', 'phd', 'as', 'asd', 'expert', 'as', 'the', 'mother', 'of', 'a', 'spectrum', 'teen', 'i', 'am', 'becoming', 'concerned', 'about', 'prejudice', 'against', 'persons', 'with', 'autism', 'spectrum', 'autism', 'spectrum', 'disorder', 'as', 'asd', 'because', 'of', 'three', 'shootings', 'that', 'occurred', 'in', 'the', 'u', 's', 'where', 'the', 'shooters', 'were', 'identified', 'as', 'having', 'as', 'as', 'a', 'mother', 'i', 'want', 'to', 'protect', 'and', 'continue', 'reading']"
