post id,Readability
0,11.6
1,6.9
2,6.3
3,4.0
4,9.2
5,4.0
6,14.0
7,9.9
8,8.7
9,7.5
10,11.6
11,6.9
12,7.5
13,13.8
14,12.8
15,6.8
16,16.4
17,12.8
18,6.3
19,4.0
20,12.8
21,4.5
22,9.2
23,8.1
24,12.8
25,11.6
26,7.5
27,8.1
28,11.0
29,14.0
30,2.9
31,9.2
32,10.4
33,14.0
34,11.6
35,8.3
36,12.8
37,5.1
38,7.5
39,8.1
40,7.4
41,6.3
42,8.7
43,5.7
44,1.7
45,2.8
46,7.5
47,15.2
48,15.2
49,11.0
50,9.2
51,11.0
52,12.8
53,4.0
54,10.4
55,5.1
56,4.0
57,4.5
58,21.2
59,21.2
60,20.0
61,8.1
62,8.1
63,11.6
64,9.1
65,11.8
66,10.4
67,6.9
68,8.1
69,3.3
70,9.2
71,8.1
72,9.2
73,9.3
74,15.2
75,6.9
76,12.8
77,9.3
78,11.7
79,7.5
80,6.3
81,6.3
82,11.0
83,15.2
84,14.0
85,14.0
86,11.6
87,9.9
88,12.8
89,17.6
90,14.5
91,5.3
92,9.2
93,4.0
94,8.7
95,8.1
96,9.9
97,11.7
98,10.4
99,3.3
100,5.7
101,10.5
102,6.3
103,5.1
104,4.5
105,16.4
106,10.4
107,7.5
108,16.2
109,5.2
110,7.5
111,10.4
112,13.2
113,9.9
114,10.4
115,14.0
116,7.6
117,10.4
118,4.0
119,10.4
120,9.1
121,12.8
122,14.0
123,8.7
124,14.0
125,4.0
126,5.1
127,6.9
128,10.6
129,5.1
130,2.9
131,5.2
132,15.4
133,10.5
134,8.7
135,25.9
136,15.2
137,11.6
138,10.4
139,18.7
140,13.8
141,13.8
142,11.5
143,12.6
144,10.3
145,13.8
146,10.3
147,11.5
148,15.0
149,12.6
150,15.2
151,9.8
152,11.8
153,4.0
154,8.1
155,9.9
156,12.8
157,4.0
158,5.1
159,9.9
160,5.2
161,4.0
162,2.2
163,5.2
164,8.7
165,7.5
166,5.2
167,6.9
168,4.0
169,15.2
170,6.4
171,6.3
172,22.4
173,10.4
174,8.7
175,7.6
176,3.8
177,9.3
178,7.5
179,13.3
180,11.5
181,4.0
182,12.6
183,9.1
184,27.1
185,9.9
186,6.5
187,24.7
188,11.0
189,8.1
190,14.0
191,12.5
192,8.1
193,7.5
194,6.9
195,10.4
196,12.2
197,14.1
198,5.2
199,7.5
200,5.2
201,9.3
202,6.4
203,7.5
204,5.7
205,5.7
206,9.2
207,9.2
208,8.7
209,7.5
210,11.6
211,8.7
212,4.2
213,15.3
214,4.8
215,12.2
216,2.4
217,10.2
218,7.1
219,10.3
220,15.0
221,8.7
222,4.0
223,16.8
224,9.4
225,13.0
226,10.7
227,3.7
228,6.4
229,7.3
230,31.0
231,13.9
232,5.9
233,6.4
234,11.5
235,5.3
236,9.6
237,13.5
238,12.2
239,7.1
240,11.2
241,5.9
242,8.7
243,6.3
244,7.1
245,4.4
246,8.6
247,6.5
248,7.5
249,4.1
250,12.2
251,7.3
252,4.9
253,13.4
254,-4.2
255,6.4
256,-0.3
257,10.5
258,1.3
259,9.0
260,13.1
261,9.7
262,4.6
263,1.9
264,7.9
265,7.9
266,9.3
267,11.2
268,10.3
269,9.1
270,8.3
271,8.7
272,65.7
273,5.2
274,32.1
275,7.0
276,12.3
277,14.6
278,4.6
279,6.2
280,7.2
281,10.2
282,5.8
283,6.4
284,7.5
285,7.7
286,5.7
287,1.1
288,6.4
289,6.6
290,3.6
291,7.2
292,-2.2
293,-2.6
294,3.6
295,11.9
296,-3.8
297,6.2
298,-0.3
299,2.3
300,1.9
301,9.6
302,8.6
303,9.7
304,1.3
305,4.0
306,3.3
307,3.4
308,6.2
309,7.1
310,8.1
311,8.6
312,5.1
313,5.9
314,8.0
315,8.1
316,4.7
317,6.5
318,5.9
319,6.7
320,6.4
321,7.6
322,11.2
323,4.8
324,5.6
325,4.9
326,6.4
327,7.2
328,4.6
329,3.4
330,6.6
331,5.1
332,5.4
333,7.7
334,3.1
335,6.9
336,5.0
337,6.4
338,2.7
339,3.2
340,6.9
341,3.7
342,11.8
343,7.7
344,10.1
345,7.5
